segment,step,move_frame,before,target,after,request,error,flags,side_hit,callback_frame
2,15,15945,"1.4392|6.4304|-5.3724","1.3278|6.4592|-5.2700","1.3278|6.4293|-5.2700",0.1513,0.0300,"None","",-1
3,1,15946,"1.3278|6.4293|-5.2700","1.2263|6.4592|-5.3804","1.2263|6.4301|-5.3804",0.1500,0.0291,"Below","",-1
3,2,15947,"1.2263|6.4301|-5.3804","1.1247|6.4592|-5.4908","1.1247|6.4293|-5.4908",0.1500,0.0300,"None","",-1
4,1,15948,"1.1247|6.4293|-5.4908","0.9785|6.4578|-5.4687","0.9785|6.4278|-5.4687",0.1479,0.0300,"None","",-1
4,2,15949,"0.9785|6.4278|-5.4687","0.8323|6.4563|-5.4467","0.8323|6.4263|-5.4467",0.1479,0.0300,"None","",-1
4,3,15950,"0.8323|6.4263|-5.4467","0.6860|6.4549|-5.4246","0.6860|6.4249|-5.4246",0.1479,0.0300,"None","",-1
4,4,15951,"0.6860|6.4249|-5.4246","0.5398|6.4534|-5.4026","0.5398|6.4234|-5.4026",0.1479,0.0300,"None","",-1
4,5,15952,"0.5398|6.4234|-5.4026","0.3935|6.4519|-5.3806","0.3935|6.4220|-5.3806",0.1479,0.0300,"None","",-1
4,6,15953,"0.3935|6.4220|-5.3806","0.2473|6.4505|-5.3585","0.2473|6.4205|-5.3585",0.1479,0.0300,"None","",-1
4,7,15954,"0.2473|6.4205|-5.3585","0.1011|6.4490|-5.3365","0.1011|6.4190|-5.3365",0.1479,0.0300,"Above","V12_PROXY_Queens_Chamber_Entry_Wall_Lintel",15954
4,8,15955,"0.1011|6.4190|-5.3365","-0.0452|6.4475|-5.3145","-0.0452|6.4176|-5.3145",0.1479,0.0300,"Above","V12_PROXY_Queens_Chamber_Entry_Wall_Lintel",15955
4,9,15956,"-0.0452|6.4176|-5.3145","-0.1914|6.4461|-5.2924","-0.1914|6.4161|-5.2924",0.1479,0.0300,"Above","V12_PROXY_Queens_Chamber_Entry_Wall_Lintel",15956
4,10,15957,"-0.1914|6.4161|-5.2924","-0.3376|6.4446|-5.2704","-0.3376|6.4146|-5.2704",0.1479,0.0300,"Above","V12_PROXY_Queens_Chamber_Entry_Wall_Lintel",15957
4,11,15958,"-0.3376|6.4146|-5.2704","-0.4839|6.4432|-5.2483","-0.4839|6.4132|-5.2483",0.1479,0.0300,"Above","V12_PROXY_Queens_Chamber_Entry_Wall_Lintel",15958
5,1,15959,"-0.4839|6.4132|-5.2483","-0.6301|6.4417|-5.2263","-0.6301|6.4117|-5.2263",0.1479,0.0300,"Above","V12_PROXY_Queens_Chamber_Entry_Wall_Lintel",15959
5,2,15960,"-0.6301|6.4117|-5.2263","-0.7763|6.4402|-5.2043","-0.7763|6.4103|-5.2043",0.1479,0.0300,"Above","V12_PROXY_Queens_Chamber_Entry_Wall_Lintel",15960
5,3,15961,"-0.7763|6.4103|-5.2043","-0.9226|6.4388|-5.1822","-0.9226|6.4088|-5.1822",0.1479,0.0300,"Above","V12_PROXY_Queens_Chamber_Entry_Wall_Lintel",15961
5,4,15962,"-0.9226|6.4088|-5.1822","-1.0688|6.4373|-5.1602","-1.0688|6.4073|-5.1602",0.1479,0.0300,"Above","V12_PROXY_Queens_Chamber_Entry_Wall_Lintel",15962
5,5,15963,"-1.0688|6.4073|-5.1602","-1.2151|6.4358|-5.1382","-1.2151|6.4059|-5.1382",0.1479,0.0300,"Above","V12_PROXY_Queens_Chamber_Entry_Wall_Lintel",15963
5,6,15964,"-1.2151|6.4059|-5.1382","-1.3613|6.4344|-5.1161","-1.3613|6.4044|-5.1161",0.1479,0.0300,"Above","V12_PROXY_Queens_Chamber_Entry_Wall_Lintel",15964
5,7,15965,"-1.3613|6.4044|-5.1161","-1.5075|6.4329|-5.0941","-1.5075|6.4029|-5.0941",0.1479,0.0300,"Above","V12_PROXY_Queens_Chamber_Entry_Wall_Lintel",15965
5,8,15966,"-1.5075|6.4029|-5.0941","-1.6538|6.4315|-5.0720","-1.6538|6.4015|-5.0720",0.1479,0.0300,"Above","V12_PROXY_Queens_Chamber_Entry_Wall_Lintel",15966
5,9,15967,"-1.6538|6.4015|-5.0720","-1.8000|6.4300|-5.0500","-1.8000|6.4000|-5.0500",0.1479,0.0300,"Above","V12_PROXY_Queens_Chamber_Entry_Wall_Lintel",15967
6,1,15968,"-1.8000|6.4000|-5.0500","-1.8000|6.4300|-4.9000","-1.8000|6.3998|-4.9000",0.1500,0.0302,"Above","V12_PROXY_Queens_Chamber_Entry_Wall_Lintel",15968
6,2,15969,"-1.8000|6.3998|-4.9000","-1.8000|6.4300|-4.7500","-1.8000|6.3996|-4.7500",0.1500,0.0304,"Above","V12_PROXY_Queens_Chamber_Entry_Wall_Lintel",15969
6,3,15970,"-1.8000|6.3996|-4.7500","-1.8000|6.4300|-4.6000","-1.8000|6.3994|-4.6000",0.1500,0.0306,"Above","V12_PROXY_Queens_Chamber_Entry_Wall_Lintel",15970
6,4,15971,"-1.8000|6.3994|-4.6000","-1.8000|6.4300|-4.4500","-1.8000|6.3991|-4.4500",0.1500,0.0309,"None","",-1
6,5,15972,"-1.8000|6.3991|-4.4500","-1.8000|6.4300|-4.3000","-1.8000|6.3986|-4.3000",0.1500,0.0314,"None","",-1
6,6,15973,"-1.8000|6.3986|-4.3000","-1.8000|6.4300|-4.1500","-1.8000|6.3969|-4.1500",0.1500,0.0331,"None","",-1
6,7,15974,"-1.8000|6.3969|-4.1500","-1.8000|6.4300|-4.0000","-1.8000|6.3942|-4.0000",0.1500,0.0358,"None","",-1
6,8,15975,"-1.8000|6.3942|-4.0000","-1.8000|6.4300|-3.8500","-1.8000|6.3817|-3.8500",0.1500,0.0483,"None","",-1
6,9,15976,"-1.8000|6.3817|-3.8500","-1.8000|6.4300|-3.7000","-1.8000|6.3800|-3.7000",0.1500,0.0500,"None","",-1
6,10,15977,"-1.8000|6.3800|-3.7000","-1.8000|6.4300|-3.5500","-1.8000|6.3800|-3.5500",0.1500,0.0500,"Below","",-1
6,11,15978,"-1.8000|6.3800|-3.5500","-1.8000|6.4300|-3.4000","-1.8000|6.3800|-3.4000",0.1500,0.0500,"Below","",-1
6,12,15979,"-1.8000|6.3800|-3.4000","-1.8000|6.4300|-3.2500","-1.8000|6.3800|-3.2500",0.1500,0.0500,"Below","",-1
6,13,15980,"-1.8000|6.3800|-3.2500","-1.8000|6.4300|-3.1000","-1.8000|6.3800|-3.1000",0.1500,0.0500,"Below","",-1
6,14,15981,"-1.8000|6.3800|-3.1000","-1.8000|6.4300|-2.9500","-1.8000|6.3800|-2.9500",0.1500,0.0500,"Below","",-1
6,15,15982,"-1.8000|6.3800|-2.9500","-1.8000|6.4300|-2.8000","-1.8000|6.3800|-2.8000",0.1500,0.0500,"Below","",-1
7,1,15983,"-1.8000|6.3800|-2.8000","-1.6458|6.4300|-2.8000","-1.6458|6.3800|-2.8000",0.1542,0.0500,"Below","",-1
7,2,15984,"-1.6458|6.3800|-2.8000","-1.4917|6.4300|-2.8000","-1.4917|6.3800|-2.8000",0.1542,0.0500,"Below","",-1
7,3,15985,"-1.4917|6.3800|-2.8000","-1.3375|6.4300|-2.8000","-1.3375|6.3800|-2.8000",0.1542,0.0500,"Below","",-1
